DRAFT - For Discussion Purposes Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory of Other/LHS Units (Park is Unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identified based on the existence of any Expense or GL Report in RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Sale Amount (Based on Sale / Revenue GL Account),,,,,,,,,,Commissions (GL detail - RM),,,,,Rental Unit Listing Report (RM),,,,A/P Detail (as of 10/29/25) - RM,,,,Observations,,,
Definition of each header:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit # identified in RM,,Full Property/Park Name,Acronym for Full Property Name,Combination of Full Property Acronym and Unit # (used as a unique ID),"Combination of Base Property (GC, PEM, SPR, SR) and Unit #","Base Property (GC, PEM, SPR, SR). LHS is not a base property",,,"See "":Copy of LHS Inventory Showing Rentals.xlsx"" file. Utilized the ""Lot"" and ""Property"" fields.",,Extracted the GL Bank balance from the Unit BS report,Based on extration of MCO detail from Cavco/Champion Invoices,Based on extration of MCO detail from Cavco/Champion Invoices,,Based on extration of MCO detail from Cavco/Champion Invoices,Based on extration of Invoice detail from Cavco/Champion Invoices,,,,,,Comparison of the unit # noted on the Cavco/Champion invoice against the Unit # in RM where it is recorded,,,,,,,,,,,,,,,,,,,,,3,10,2,,,,
Unit / Lot,#,Property,Prop Short Name,Property_Unit,Base_unit,"Base Property
(Other = Park is unknown)",Current LHS Property or Sold by LHS,LHS Rental,Rental List,Has_Commissions,Total Bank GL Balance (Per Unit BS Report),MCO Owner Matches Property Name?,MCO - Owner,Duplicate MCO (2nd version),MCO Date and Inv Ref,Lot / Unit, Builder Invoice Amount , Builder Invoice Date , Builder Ship Date , Bill To , Builder ,Lot/Unit on Cavco/Champion/etc. does not match, Sale Amount (pre-tax) , Sale Deposited to: , Use of LHS Funds: ,Description,Property,Date," GL Rental Income (Credits to M-Lots, Daily Guest Fees, etc.) ", GL - Credits to Unearned Rent/Prepaid) , GL Rental Deposits (Deposit to cash accounts) ,Total Sale Price per PEM Sales Contract,Billed (e.g. SBR),Memo / Invoice Number,Supported / Unsupported / Insufficient,Comments,% of Sales Price, ,Address,Current Occupant,Market Rental,Total,Cavco/Champion/CMH,SBR,All Others,1) MCO does not match,2) MCO indicates Home Sale Entity as Owner,3) Commission recorded but no sale identified,4) No MCO available
2,1,Leisure Home Sales,LHS,LHS_2,Other_2,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
3,2,Leisure Home Sales,LHS,LHS_3,Other_3,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
14,1002,Leisure Home Sales,LHS,LHS_14,Other_14,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
15,1007,Leisure Home Sales,LHS,LHS_15,Other_15,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
89,1166,Leisure Home Sales,LHS,LHS_89,Other_89,Other,Y,,No,No,  (130.79),,,,,,"  110,155.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  110,285.79 ","  110,155.00 ",  -   ,  130.79 ,,,,x
121,971,Leisure Home Sales,LHS,LHS_121,Other_121,Other,Y,,No,No,  (889.88),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  889.88 ,  -   ,  -   ,  889.88 ,,,,x
122,972,Leisure Home Sales,LHS,LHS_122,Other_122,Other,Y,,No,No,"  (1,484.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,GC Rental,,Vacant,0,"  1,484.00 ",  -   ,  -   ,"  1,484.00 ",,,,x
145,1005,Leisure Home Sales,LHS,LHS_145,Other_145,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
147,1006,Leisure Home Sales,LHS,LHS_147,Other_147,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
226,1025,Leisure Home Sales,LHS,LHS_226,Other_226,Other,Y,,No,No,  (550.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  550.00 ,  -   ,  -   ,  550.00 ,,,,x
227,1026,Leisure Home Sales,LHS,LHS_227,Other_227,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
239,1032,Leisure Home Sales,LHS,LHS_239,Other_239,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
246,1059,Leisure Home Sales,LHS,LHS_246,Other_246,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
255,1061,Leisure Home Sales,LHS,LHS_255,Other_255,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
256,1062,Leisure Home Sales,LHS,LHS_256,Other_256,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
297,1066,Leisure Home Sales,LHS,LHS_297,Other_297,Other,Y,,No,No,"  (1,426.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,SALES OFFICE,,Vacant,0,"  1,426.00 ",  -   ,  -   ,"  1,426.00 ",,,,x
332,1073,Leisure Home Sales,LHS,LHS_332,Other_332,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
349,1078,Leisure Home Sales,LHS,LHS_349,Other_349,Other,Y,,No,No,  (150.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  150.00 ,  -   ,  -   ,  150.00 ,,,,x
352,1080,Leisure Home Sales,LHS,LHS_352,Other_352,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
354,1082,Leisure Home Sales,LHS,LHS_354,Other_354,Other,Y,,No,No,  (170.73),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  170.73 ,  -   ,  -   ,  170.73 ,,,,x
373,1085,Leisure Home Sales,LHS,LHS_373,Other_373,Other,Y,,No,No,"  (129,675.48)",,,,,,"  74,279.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  128,843.48 ","  74,279.00 ",  -   ,"  54,564.48 ",,,,x
384,1088,Leisure Home Sales,LHS,LHS_384,Other_384,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
411,1093,Leisure Home Sales,LHS,LHS_411,Other_411,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
414,1094,Leisure Home Sales,LHS,LHS_414,Other_414,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
473,1103,Leisure Home Sales,LHS,LHS_473,Other_473,Other,Y,,No,No,  30.00 ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
474,1104,Leisure Home Sales,LHS,LHS_474,Other_474,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
540,1107,Leisure Home Sales,LHS,LHS_540,Other_540,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
579,1110,Leisure Home Sales,LHS,LHS_579,Other_579,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
588,1113,Leisure Home Sales,LHS,LHS_588,Other_588,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
610,1115,Leisure Home Sales,LHS,LHS_610,Other_610,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
618,1117,Leisure Home Sales,LHS,LHS_618,Other_618,Other,Y,,No,No,"  (66,462.00)",,,,,,"  44,478.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  65,311.00 ","  44,478.00 ",  -   ,"  20,833.00 ",,,,x
669,1119,Leisure Home Sales,LHS,LHS_669,Other_669,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
690,1120,Leisure Home Sales,LHS,LHS_690,Other_690,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
709,1123,Leisure Home Sales,LHS,LHS_709,Other_709,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
710,1124,Leisure Home Sales,LHS,LHS_710,Other_710,Other,Y,,No,No,"  (57,229.19)",,,,,,  -   ,,,,,,,,,,,,  -   ,  -   ,#N/A,,,,,,,Sales,,Vacant,0,"  54,551.29 ",  -   ,  -   ,"  54,551.29 ",,,,x
733,1126,Leisure Home Sales,LHS,LHS_733,Other_733,Other,Y,,No,No,"  (79,184.40)",,,,,,"  54,093.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  77,956.40 ","  54,093.00 ",  -   ,"  23,863.40 ",,,,x
742,1128,Leisure Home Sales,LHS,LHS_742,Other_742,Other,Y,,No,No,  (125.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  125.00 ,  -   ,  -   ,  125.00 ,,,,x
750,1129,Leisure Home Sales,LHS,LHS_750,Other_750,Other,Y,,No,No,  (64.25),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  64.25 ,  -   ,  -   ,  64.25 ,,,,x
768,1130,Leisure Home Sales,LHS,LHS_768,Other_768,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
771,1131,Leisure Home Sales,LHS,LHS_771,Other_771,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
773,1132,Leisure Home Sales,LHS,LHS_773,Other_773,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
775,1134,Leisure Home Sales,LHS,LHS_775,Other_775,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
776,1135,Leisure Home Sales,LHS,LHS_776,Other_776,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
850,1152,Leisure Home Sales,LHS,LHS_850,Other_850,Other,Y,,No,No,"  (3,476.86)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  3,476.86 ",  -   ,  -   ,"  3,476.86 ",,,,x
854,1153,Leisure Home Sales,LHS,LHS_854,Other_854,Other,Y,,No,No,"  (1,710.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  1,710.00 ",  -   ,  -   ,"  1,710.00 ",,,,x
864,1155,Leisure Home Sales,LHS,LHS_864,Other_864,Other,Y,,No,No,  (7.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
865,1156,Leisure Home Sales,LHS,LHS_865,Other_865,Other,Y,,No,No,  (166.85),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  166.85 ,  -   ,  -   ,  166.85 ,,,,x
870,1159,Leisure Home Sales,LHS,LHS_870,Other_870,Other,Y,,No,No,  (997.62),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  997.62 ,  -   ,  -   ,  997.62 ,,,,x
871,1160,Leisure Home Sales,LHS,LHS_871,Other_871,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
874,1162,Leisure Home Sales,LHS,LHS_874,Other_874,Other,Y,,No,No,  (310.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  310.00 ,  -   ,  -   ,  310.00 ,,,,x
883,1164,Leisure Home Sales,LHS,LHS_883,Other_883,Other,Y,,No,No,"  (4,667.72)",,,,,,  -   ,,,,,,,,,,,,  690.00 ,  -   ,#N/A,,,,,,,Manager House,,Vacant,0,"  9,357.72 ",  -   ,  -   ,"  9,357.72 ",,,,x
924,1168,Leisure Home Sales,LHS,LHS_924,Other_924,Other,Y,,No,No,  (40.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  40.00 ,  -   ,  -   ,  40.00 ,,,,x
943,1169,Leisure Home Sales,LHS,LHS_943,Other_943,Other,Y,,No,No,  (54.26),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,x
1144,969,Leisure Home Sales,LHS,LHS_1144,Other_1144,Other,Y,,No,No,  (150.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  150.00 ,  -   ,  -   ,  150.00 ,,,,x
1250,973,Leisure Home Sales,LHS,LHS_1250,Other_1250,Other,Y,,No,No,  (655.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,  655.00 ,  -   ,  -   ,  655.00 ,,,,x
1251,974,Leisure Home Sales,LHS,LHS_1251,Other_1251,Other,Y,,No,No,  (60.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1252,975,Leisure Home Sales,LHS,LHS_1252,Other_1252,Other,Y,,No,No,"  (2,390.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  2,390.00 ",  -   ,  -   ,"  2,390.00 ",,,,x
1253,976,Leisure Home Sales,LHS,LHS_1253,Other_1253,Other,Y,,No,No,"  (1,030.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  1,030.00 ",  -   ,  -   ,"  1,030.00 ",,,,x
1254,977,Leisure Home Sales,LHS,LHS_1254,Other_1254,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1255,978,Leisure Home Sales,LHS,LHS_1255,Other_1255,Other,Y,,No,No,"  (21,257.71)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  19,601.21 ",  -   ,  -   ,"  19,601.21 ",,,,x
1256,979,Leisure Home Sales,LHS,LHS_1256,Other_1256,Other,Y,,No,No,"  (22,853.54)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  20,335.70 ",  -   ,  -   ,"  20,335.70 ",,,,x
1257,980,Leisure Home Sales,LHS,LHS_1257,Other_1257,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1258,981,Leisure Home Sales,LHS,LHS_1258,Other_1258,Other,Y,,No,No,  (60.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
