DRAFT - For Discussion Purposes Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,982,Leisure Home Sales,LHS,LHS_1259,Other_1259,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1260,983,Leisure Home Sales,LHS,LHS_1260,Other_1260,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1261,984,Leisure Home Sales,LHS,LHS_1261,Other_1261,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1262,985,Leisure Home Sales,LHS,LHS_1262,Other_1262,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1263,986,Leisure Home Sales,LHS,LHS_1263,Other_1263,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1264,987,Leisure Home Sales,LHS,LHS_1264,Other_1264,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1265,988,Leisure Home Sales,LHS,LHS_1265,Other_1265,Other,Y,,No,No,  (60.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1266,989,Leisure Home Sales,LHS,LHS_1266,Other_1266,Other,Y,,No,No,"  (12,531.43)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,"  9,876.43 ",  -   ,  -   ,"  9,876.43 ",,,,x
1267,990,Leisure Home Sales,LHS,LHS_1267,Other_1267,Other,Y,,No,No,"  (2,694.32)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,  350.00 ,  -   ,  -   ,  350.00 ,,,,x
1268,991,Leisure Home Sales,LHS,LHS_1268,Other_1268,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1269,992,Leisure Home Sales,LHS,LHS_1269,Other_1269,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1270,993,Leisure Home Sales,LHS,LHS_1270,Other_1270,Other,Y,,No,No,"  (1,200.00)",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1271,994,Leisure Home Sales,LHS,LHS_1271,Other_1271,Other,Y,,No,No,  -   ,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
1272,995,Leisure Home Sales,LHS,LHS_1272,Other_1272,Other,Y,,No,No,"  (73,349.15)",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,Creekside,Vacant,0,,,,,,,,x
2337,1030,Leisure Home Sales,LHS,LHS_2337,Other_2337,Other,Y,,No,No,"  2,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
3981,1092,Leisure Home Sales,LHS,LHS_3981,Other_3981,Other,Y,,No,No,"  3,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,,,,,,,,x
10247,962,Leisure Home Sales,LHS,LHS_10247,Other_10247,Other,Y,,No,Yes,"  2,350.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,,,,,,,x,x
10620,963,Leisure Home Sales,LHS,LHS_10620,Other_10620,Other,Y,,No,No,"  4,500.00 ",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  500.00 ,  -   ,  -   ,  500.00 ,,,,x
10939,965,Leisure Home Sales,LHS,LHS_10939,Other_10939,Other,Y,,No,No,"  31,913.20 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
11325,968,Leisure Home Sales,LHS,LHS_11325,Other_11325,Other,Y,,No,No,  (742.72),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  742.72 ,  -   ,  -   ,  742.72 ,,,,x
13068,998,Leisure Home Sales,LHS,LHS_13068,Other_13068,Other,Y,,No,No,  (25.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
13317,1000,Leisure Home Sales,LHS,LHS_13317,Other_13317,Other,Y,,No,No,  (943.08),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  943.08 ,  -   ,  -   ,  943.08 ,,,,x
21267,1022,Leisure Home Sales,LHS,LHS_21267,Other_21267,Other,Y,,No,No,"  (1,002.54)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,002.54 ",  -   ,  -   ,"  1,002.54 ",,,,x
24040,1035,Leisure Home Sales,LHS,LHS_24040,Other_24040,Other,Y,,No,No,"  (56,911.37)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  61,483.80 ",  -   ,  -   ,"  61,483.80 ",,,,x
24136,1043,Leisure Home Sales,LHS,LHS_24136,Other_24136,Other,Y,,No,No,"  (1,125.00)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,100.00 ",  -   ,  -   ,"  1,100.00 ",,,,x
24138,1044,Leisure Home Sales,LHS,LHS_24138,Other_24138,Other,Y,,No,No,  (500.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  500.00 ,  -   ,  -   ,  500.00 ,,,,x
24183,1046,Leisure Home Sales,LHS,LHS_24183,Other_24183,Other,Y,,No,No,"  (56,089.72)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  26,346.86 ",  -   ,  -   ,"  26,346.86 ",,,,x
24230,1050,Leisure Home Sales,LHS,LHS_24230,Other_24230,Other,Y,,No,No,"  (42,355.22)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  448.59 ,  -   ,  -   ,  448.59 ,,,,x
24234,1051,Leisure Home Sales,LHS,LHS_24234,Other_24234,Other,Y,,No,No,"  5,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
24263,1053,Leisure Home Sales,LHS,LHS_24263,Other_24263,Other,Y,,No,No,"  (5,057.07)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  3,840.23 ",  -   ,  -   ,"  3,840.23 ",,,,x
38037,1086,Leisure Home Sales,LHS,LHS_38037,Other_38037,Other,Y,,No,No,  (25.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
80753,1140,Leisure Home Sales,LHS,LHS_80753,Other_80753,Other,Y,,No,No,"  3,000.00 ",,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,,,,,,,,x
80773,1141,Leisure Home Sales,LHS,LHS_80773,Other_80773,Other,Y,,No,No,  (25.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
91195,1167,Leisure Home Sales,LHS,LHS_91195,Other_91195,Other,Y,,No,No,  (25.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
137B,1001,Leisure Home Sales,LHS,LHS_137B,Other_137B,Other,Y,,No,No,"  (1,508.07)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,136.30 ",  -   ,  -   ,"  1,136.30 ",,,,x
162C,1009,Leisure Home Sales,LHS,LHS_162C,Other_162C,Other,Y,,No,No,  (69.82),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  119.64 ,  -   ,  -   ,  119.64 ,,,,x
16A,1010,Leisure Home Sales,LHS,LHS_16A,Other_16A,Other,Y,,No,No,  (125.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  125.00 ,  -   ,  -   ,  125.00 ,,,,x
179B,1013,Leisure Home Sales,LHS,LHS_179B,Other_179B,Other,Y,,No,No,  (5.63),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  5.63 ,  -   ,  -   ,  5.63 ,,,,x
194C,1015,Leisure Home Sales,LHS,LHS_194C,Other_194C,Other,Y,,No,No,"  (1,722.30)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,722.30 ",  -   ,  -   ,"  1,722.30 ",,,,x
198C,1017,Leisure Home Sales,LHS,LHS_198C,Other_198C,Other,Y,,No,No,"  5,176.94 ",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,  -   ,,,,,Manager House,,Vacant,0,  520.33 ,  -   ,  -   ,  520.33 ,,,,x
218D,1023,Leisure Home Sales,LHS,LHS_218D,Other_218D,Other,Y,,No,No,  (561.50),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,N/A,N/A,N/A,N/A,  561.50 ,  -   ,  -   ,  561.50 ,,,,x
22A,1027,Leisure Home Sales,LHS,LHS_22A,Other_22A,Other,Y,,No,No,  (367.81),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,  357.81 ,  -   ,  -   ,  357.81 ,,,,x
230D,1028,Leisure Home Sales,LHS,LHS_230D,Other_230D,Other,Y,,No,Yes,"  80,310.17 ",,,,,,  -   ,,,,,,"  86,995.00 ",,, Home Closing 230D , Leisure Home Sales ,8/6/2020,  -   ,  -   ,#N/A,,  -   ,,,,,Manager House,,Vacant - (Model),0,"  1,511.85 ",  -   ,  -   ,"  1,511.85 ",,,,x
236D,1031,Leisure Home Sales,LHS,LHS_236D,Other_236D,Other,Y,,No,No,"  (79,705.13)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  27,058.13 ",  -   ,  -   ,"  27,058.13 ",,,,x
256D,1063,Leisure Home Sales,LHS,LHS_256D,Other_256D,Other,Y,,No,No,"  (110,105.26)",,,,,,"  70,532.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  109,605.18 ","  70,532.00 ",  -   ,"  39,073.18 ",,,,x
25A,1064,Leisure Home Sales,LHS,LHS_25A,Other_25A,Other,Y,,No,No,  (10.00),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
273D,1065,Leisure Home Sales,LHS,LHS_273D,Other_273D,Other,Y,,No,No,  (441.59),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  400.00 ,  -   ,  -   ,  400.00 ,,,,x
308D,1068,Leisure Home Sales,LHS,LHS_308D,Other_308D,Other,Y,,No,No,"  (1,500.62)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,500.62 ",  -   ,  -   ,"  1,500.62 ",,,,x
311D,1069,Leisure Home Sales,LHS,LHS_311D,Other_311D,Other,Y,,No,Yes,"  88,886.77 ",,,,,,  -   ,,,,,,"  90,995.00 ", LHS 7307 ,, Home Closing 311D , Leisure Home Sales ,12/1/2020,  -   ,  -   ,#N/A,,  -   ,,,,,Manager House,,Vacant,0,  571.57 ,  -   ,  -   ,  571.57 ,,,,x
320D,1070,Leisure Home Sales,LHS,LHS_320D,Other_320D,Other,Y,,No,No,  (428.36),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  180.00 ,  -   ,  -   ,  180.00 ,,,,x
326D,1071,Leisure Home Sales,LHS,LHS_326D,Other_326D,Other,Y,,No,No,"  (120,219.69)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  37,343.48 ",  -   ,  -   ,"  37,343.48 ",,,,x
332E,1074,Leisure Home Sales,LHS,LHS_332E,Other_332E,Other,Y,,No,No,"  (1,472.90)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,472.90 ",  -   ,  -   ,"  1,472.90 ",,,,x
335E,1075,Leisure Home Sales,LHS,LHS_335E,Other_335E,Other,Y,,No,No,  (94.75),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  94.75 ,  -   ,  -   ,  94.75 ,,,,x
339E,1076,Leisure Home Sales,LHS,LHS_339E,Other_339E,Other,Y,,No,No,  (713.46),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  125.00 ,  -   ,  -   ,  125.00 ,,,,x
351E,1079,Leisure Home Sales,LHS,LHS_351E,Other_351E,Other,Y,,No,Yes,"  90,555.50 ",,,,,,  -   ,,,,,,"  93,995.00 ", LHS 7307 ,, Home Closing 351E , Leisure Home Sales ,10/29/2020,  -   ,  -   ,#N/A,,  -   ,,,,,Manager House,,Vacant,0,"  1,559.92 ",  -   ,  -   ,"  1,559.92 ",,,,x
366F,1084,Leisure Home Sales,LHS,LHS_366F,Other_366F,Other,Y,,No,No,"  (109,363.40)",,,,,,"  63,448.00 ",,,, Cavco ,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  109,044.72 ","  63,448.00 ",  -   ,"  45,596.72 ",,,,x
382F,1087,Leisure Home Sales,LHS,LHS_382F,Other_382F,Other,Y,,No,No,  (729.25),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  729.25 ,  -   ,  -   ,  729.25 ,,,,x
414G,1095,Leisure Home Sales,LHS,LHS_414G,Other_414G,Other,Y,,No,No,"  (1,590.92)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,"  1,560.93 ",  -   ,  -   ,"  1,560.93 ",,,,x
4A,1105,Leisure Home Sales,LHS,LHS_4A,Other_4A,Other,Y,,No,No,  (99.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  99.00 ,  -   ,  -   ,  99.00 ,,,,x
578J,1109,Leisure Home Sales,LHS,LHS_578J,Other_578J,Other,Y,,No,No,"  121,707.51 ",,,,,,,,,,,,"  122,392.79 ", LHS 7307 ,, LHS General 7307  Voluntary Repo-Home Sale 578J , Leisure Home Sales ,4/16/2021,  -   ,  -   ,#N/A,,,,,,,Manager House,,Vacant,0,,,,,,,,x
608L,1114,Leisure Home Sales,LHS,LHS_608L,Other_608L,Other,Y,,No,No,"  89,149.07 ",,,,,,  -   ,,,,,,"  88,995.00 ", LHS 7307 ,, Closing 608L , Leisure Home Sales ,9/11/2020,  -   ,  -   ,#N/A,,,,,,,Manager House,,Vacant,0,  410.44 ,  -   ,  -   ,  410.44 ,,,,x
610L,1116,Leisure Home Sales,LHS,LHS_610L,Other_610L,Other,Y,,No,No,  (290.42),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
619L,1118,Leisure Home Sales,LHS,LHS_619L,Other_619L,Other,Y,,No,Yes,"  11,996.03 ",,,,,,  -   ,,,,,,"  93,995.00 ", LHS 7307 ,, Home Closing 619L , Leisure Home Sales ,12/2/2020,  -   ,  -   ,#N/A,,  -   ,,,,,Manager House,,Vacant,0,"  25,714.96 ",  -   ,  -   ,"  25,714.96 ",,,,x
A067,1170,Leisure Home Sales,LHS,LHS_A067,Other_A067,Other,Y,,No,No,  (300.00),,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  300.00 ,  -   ,  -   ,  300.00 ,,,,x
A73,1171,Leisure Home Sales,LHS,LHS_A73,Other_A73,Other,Y,,No,No,  (537.39),,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,,,,,,,,x
C1267,1172,Leisure Home Sales,LHS,LHS_C1267,Other_C1267,Other,Y,,No,No,"  (10,101.20)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Sales,,Vacant,0,"  10,101.20 ",  -   ,  -   ,"  10,101.20 ",,,,x
CS001,1173,Leisure Home Sales,LHS,LHS_CS001,Other_CS001,Other,Y,,No,No,"  (71,275.67)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  868.48 ,  -   ,  -   ,  868.48 ,,,,x
CS002,1174,Leisure Home Sales,LHS,LHS_CS002,Other_CS002,Other,Y,,No,No,"  (77,218.32)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  897.88 ,  -   ,  -   ,  897.88 ,,,,x
CS003,1175,Leisure Home Sales,LHS,LHS_CS003,Other_CS003,Other,Y,,No,No,"  (2,842.01)",,,,,,  -   ,,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,Manager House,,Vacant,0,  891.38 ,  -   ,  -   ,  891.38 ,,,,x